UserID,Age,Gender,FashionType,OutfitChoice
2169,41,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2375,40,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2184,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2237,33,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2197,29,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2276,62,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2122,45,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2330,20,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2290,25,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2197,45,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2373,50,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2160,44,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2176,53,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2287,66,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2184,44,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2259,23,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2349,71,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2194,45,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2172,60,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2188,32,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2334,33,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2379,44,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2147,20,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2281,53,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2359,23,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2112,18,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2309,43,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2337,42,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2129,20,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2406,18,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2153,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2274,50,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2155,19,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2136,24,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2116,53,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2276,69,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2197,29,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2288,39,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2276,44,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2405,63,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2212,34,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2361,70,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2357,59,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2319,22,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2343,39,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2238,21,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2282,27,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2381,34,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2128,29,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2152,54,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2179,59,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2307,50,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2400,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2350,60,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2273,30,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2401,44,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2348,26,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2378,52,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2378,28,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2385,24,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2313,27,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2343,68,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2279,46,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2250,18,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2137,50,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2273,41,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2185,31,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2122,37,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2394,18,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2139,59,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2344,24,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2393,26,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2258,49,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2279,33,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2124,21,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2295,30,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2334,25,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2292,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2325,32,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2206,51,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2145,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2405,23,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2136,23,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2131,40,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2260,23,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2275,24,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2196,49,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2317,35,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2254,44,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2141,50,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2365,43,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2387,38,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2286,50,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2121,27,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2219,32,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2227,37,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2328,27,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2240,45,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2335,29,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2199,26,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2366,49,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2223,33,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2302,34,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2391,37,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2256,75,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2371,64,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2276,35,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2406,24,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2140,64,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2407,29,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2142,20,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2329,73,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2323,60,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2356,43,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2364,20,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2148,63,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2364,34,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2220,25,Female,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2386,22,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2233,45,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2112,25,Male,Glamorous,"Form-fitting cocktail dress, statement clutch, and stiletto heels",
2398,22,Female,Glamorous,"Sequin gown, statement earrings, and high heels",
2333,44,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2276,55,Male,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2163,46,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2371,42,Female,Glamorous,"Silk slip dress, faux fur coat, and strappy sandals",
2291,49,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2367,27,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
2231,32,Male,Glamorous,"Sequin gown, statement earrings, and high heels",
